task_id,question,
45,"Which of these ESG service providers does not produce company ESG ratings?
A. Real Impact Tracker.
B. Inrate.
C. Thomson Reuters.
D. MSCI.",A
46,"What corporate governance practice should be included in th e process for directors of a company to be made accountable to shareholders?
A. Automatic rollover of the fi nancial auditor's services each  year.
B. Independent directors made accountable to executive directo rs.
C. Review of the accounts by the Board at the Annual General Meeting (AGM).
D. Setting executive remuneration in line with industry standa rds.",C
47,"Which of these ESG issues included in a materiality map would be best described as a Social issue?
A. Resource management.
B. Business ethics and culture.
C. Executive remuneration.
D. Health and safety.",D
48,"Scores from an ESG factor scorecard will always be:
A. Adjusted by practitioners before use.
B. Determined by the investment analyst.
C. Scaled between zero and ten.
D. Quantitative rather than qualitative.",D
49,"An ongoing situation for a company which has negative ESG implications is called a:
A. Chronic case.
B. Controversy case.
C. Current case.
D. Catastrophic case.",B
50,"Given that an analyst is able to judge the materiality of a n ESG factor, which of the following is true?
A. It will then be possible to assess the level of impact of t he ESG factor.
B. Other analysts with the same  data will make the same materi ality judgement.
C. The interaction of the ESG factor with financial performanc e will still be uncertain.
D. Cultural factors are unlikely to play a part in their judge ment of materiality.",C
51,"Several questions are associated with the following case study. The material given in thecase study will not change.

Justin Deyzak is conducting a review of the food industry and came across twocompanies which were interesting investment opportunities. As he is aware thatagricultural companies can be highly exposed to climate risk, he investigates CompanyA's and Company B's business models in order to assess those risks. Below is thesummary of his findings.

Company A
Company A's main products are premium cookies and cakes, which it sells retail in nichemarkets across the Middle East. It has a franchise model in which it maintains the designand recipe of its product in-house, while outsourcing raw material and production topartners. Suppliers for the key raw material, flour, are based in Yemen and Libya, whichhave been plagued with water scarcity in the past few years.

Company B
Company B is based in Mexico and produces chocolate paste. To ensure the standard ofquality required by its clients, the company owns all of the farms that supply the cocoa.The company has been growing through acquiring farmland. It identifies locations wherewater sources and soil are of high quality but poor farming techniques have led toinefficiencies. It purchases the land and then works with the farmers to help themtransition to more sustainable and productive farming methods.

Which of the following below best describes how Justin should assess the physical risk of the companies under review?

A. Company A has a significant physical risk due to its agricultural raw product being harvested in the areas with water scarcity.
B. Company B has no physical risk because the soil is of high quality.
C. Company B has high physical risk because farming techniques may result in physical harm to workers.
D. Company A and B have similar physical risks as a result of being classified as part of the food industry.",A
52,"Several questions are associated with the following case study. The material given in thecase study will not change.

Justin Deyzak is conducting a review of the food industry and came across twocompanies which were interesting investment opportunities. As he is aware thatagricultural companies can be highly exposed to climate risk, he investigates CompanyA's and Company B's business models in order to assess those risks. Below is thesummary of his findings.

Company A
Company A's main products are premium cookies and cakes, which it sells retail in nichemarkets across the Middle East. It has a franchise model in which it maintains the designand recipe of its product in-house, while outsourcing raw material and production topartners. Suppliers for the key raw material, flour, are based in Yemen and Libya, whichhave been plagued with water scarcity in the past few years.

Company B
Company B is based in Mexico and produces chocolate paste. To ensure the standard ofquality required by its clients, the company owns all of the farms that supply the cocoa.The company has been growing through acquiring farmland. It identifies locations wherewater sources and soil are of high quality but poor farming techniques have led toinefficiencies. It purchases the land and then works with the farmers to help themtransition to more sustainable and productive farming methods.

Which of the following statements is true regarding transition risk?

A. Company A has lower transition risk because it is a B2C (business-to-consumer) company which outsources its agricultural production.
B. Company B has higher transition risk because it is a B2B (business-to-business) company that needs to educate farmers about other farming methods.
C. Transition risk related to changing consumer expectations regarding agricultural methods should be considered for both B2B (business-to-business) and B2C (business-to-consumer) companies.
D. Justin does not need to review regulation on deforestation in the three countries as these would not impact transition risk.",C
53,"Several questions are associated with the following case study. The material given in thecase study will not change.

Justin Deyzak is conducting a review of the food industry and came across twocompanies which were interesting investment opportunities. As he is aware thatagricultural companies can be highly exposed to climate risk, he investigates CompanyA's and Company B's business models in order to assess those risks. Below is thesummary of his findings.

Company A
Company A's main products are premium cookies and cakes, which it sells retail in nichemarkets across the Middle East. It has a franchise model in which it maintains the designand recipe of its product in-house, while outsourcing raw material and production topartners. Suppliers for the key raw material, flour, are based in Yemen and Libya, whichhave been plagued with water scarcity in the past few years.

Company B
Company B is based in Mexico and produces chocolate paste. To ensure the standard ofquality required by its clients, the company owns all of the farms that supply the cocoa.The company has been growing through acquiring farmland. It identifies locations wherewater sources and soil are of high quality but poor farming techniques have led toinefficiencies. It purchases the land and then works with the farmers to help themtransition to more sustainable and productive farming methods.

Justin would like to estimate the carbon footprint of each of the companies. Which of the below should he ignore?

A. Emissions by the agricultural production of the outsourced flour producers in Company A.
B. Emissions by the trucks which deliver purchased chocolate paste to clients of Company B.
C. Emissions by employers of Company A when they fly to Yemen to conduct a supplier audit.
D. Emissions saved by the CEO of Company B flying on a commercial plane rather than on a private jet.",D
54,"Several questions are associated with the following case study. The material given in thecase study will not change.

Justin Deyzak is conducting a review of the food industry and came across twocompanies which were interesting investment opportunities. As he is aware thatagricultural companies can be highly exposed to climate risk, he investigates CompanyA's and Company B's business models in order to assess those risks. Below is thesummary of his findings.

Company A
Company A's main products are premium cookies and cakes, which it sells retail in nichemarkets across the Middle East. It has a franchise model in which it maintains the designand recipe of its product in-house, while outsourcing raw material and production topartners. Suppliers for the key raw material, flour, are based in Yemen and Libya, whichhave been plagued with water scarcity in the past few years.

Company B
Company B is based in Mexico and produces chocolate paste. To ensure the standard ofquality required by its clients, the company owns all of the farms that supply the cocoa.The company has been growing through acquiring farmland. It identifies locations wherewater sources and soil are of high quality but poor farming techniques have led toinefficiencies. It purchases the land and then works with the farmers to help themtransition to more sustainable and productive farming methods.

In what way is Justin least likely to conduct scenario testing to refine his assessment ofthe companies' climate risk?

A. Justin could impose a shadow carbon tax in his financial model to quantify anypotential impact on the companies' margins.
B. Justin could conduct a scenario analysis and obtain information on how a 4 degreeCelsius change would impact agricultural output in the countries to which Company Aand Company B are exposed to and include that in the financial model.
C. Justin could quantify the short-term impact of extreme weather events on investorsentiment regarding these industries and agricultural products.
D. Justin could incorporate the impact of climate change and risk purely on the socioeconomicconditions of workers in the affected regions.",D
55,"Natasha completes a review of a large UK based oil company and assigns it an improving ESG score because she is impressed by the steps it is taking to meet the Paris Agreement. Nevertheless, she is concerned about the industry's long-term outlook and potential for stranded assets and increased cost of capital. What action should Natasha reflect in her valuation of the comp any?
A. Adjust her discounted cash flow (DCF) model to reflect a higher cost of capital.
B. Adjust her discounted cash flow (DCF) model in later years to reflect write offs for stranded assets.
C. None, the oil price is the only real variable that matters.
D. Adjust her discounted cash flow (DCF) model to reflect a hi gher cost of capital and write offs for stranded assets in later years.",D
56,"A credit portfolio manager is considering buying a Turkish phone company which he believes has strong credit quality as reflected in single-A credit ratings assigned by two credit rating agencies. Simultaneously, the emerging markets t eam is closely monitoring election results in Turkey which has led to bond market volatility. Why would the portfolio manager d ecide not to buy the phone company bonds?
A. High Governance Score for Turkey.
B. Low Governance Score for the management of the phone compan y.
C. Low Governance score for Turkey.
D. High Governance Score for the management of the phone compa ny.",C
57,"What are the advantages of using mapping techniques when comparing two portfolios for ESG risk?
A. Both portfolios can be shown on the same map.
B. Increased ESG disclosure is making mapping more uniform.
C. The materiality aspect of mapping is standardised.
D. Specific elements of E, S, and G can be compared across sec tors.",D
58,"An analyst valuing a company against its peers should make which of the following adjustments to the price-to-earnings ratio (P/E) to integrate s trong ESG characteristics?
A. Add a premium versus its peers.
B. Add a discount versus its peers.
C. Make no adjustment versus its peers.
D. Add either a discount or premium.",A
59,"What are the three parts of the Triple Bottom Line?
A. Ecological, Social and Governance.
B. Social, Environmental and Financial.
C. Ecological, Governance and Financial.
D. Social, Financial and Governance.",B
60,"Which of the following best describes how the externalities of one highly polluting company can affect a broadly diversified investment portfolio?
A. The returns of a polluting company will always be lower and  will reduce the overall portfolio returns.
B. The profitability of other portfolio investments can be low ered by externalities of the polluting company.
C. The returns of a polluting company will always be higher an d will increase the overall portfolio returns.
D. The profitability of a polluting company can be lowered but its externalities will increase the overall portfolio returns.",A
61,"Jane is an equity analyst at AVX Asset Management and cover s a large public oil company which she needs to assign an environmental score to. Th e company says it is addressing carbon emissions, but refuses to disclose exactly what measures it is taking. Alogical next step for Jane would be to
A. Look at the company's financial statements and try to draw conclusions.
B. Recommend that AVX sell the company's shares.
C. Suggest that AVX join the Investor Forum and use collective  action to encourage the company to improve its disclosure.
D. Take the company's word for it and assign a high environmen tal score.",C
62,"The physical impacts of climate change are most likely to be identified as a key ESG driver for which form of institutional investor?
A. An actively managed mutual fund.
B. A life insurance company.
C. A pension fund.
D. A property and general insurance company.",D
63,"Several questions are associated with the following case study. The material given in thecase study will not change.

Food service operators are seeing one of the most important and growing trends in thepast decade ' the 'gourmetisation' of fast food into a new category of food service calledfast casual. One of the strongest restaurant concepts, fast casual restaurants do not offera full table service; however, they do advertise higher quality food in comparison to fastfood restaurants. As a result, fast casual restaurants are perceived as an intermediateoption between fast food and casual dining, and usually priced accordingly. Fast casual isnow the fastest growing category in the food service industry.

The industry relies heavily on human capital for food preparation and customer services.These jobs are usually low paid and require long hours. A large percentage of foodpreparation and customer services jobs are filled by immigrants and young adults,respectively.

Below is information from two German companies in the fast casual restaurant subsector,which may or may not be material.

| Company                                                      | A      | B     |
| ------------------------------------------------------------ | ------ | ----- |
| Number of individuals in the Board of Directors              | 10     | 14    |
| Number of independent directors                              | 9      | 6     |
| Correlation between CEO's variable remuneration and company's | 0.78   | 0.43  |
| Revenue (EUR millions)                                       | 20.736 | 5.923 |
| Number of stores                                             | 38     | 10    |
| Percentage of food procurement:                              |        |       |
| ___ Sourced locally                                          | 34%    | 79%   |
| ___ Sourced internationally                                  | 66%    | 21%   |
| Average number of customers per day per store                | 400    | 200   |
| Average margin per customer                                  | 3%     | 7%    |
| Number of employees                                          | 12,347 | 4,213 |
| ___ percentage in food preparation                           | 50%    | 40%   |
| ___ percentage in customer service                           | 40%    | 45%   |
| ___ percentage in other                                      | 10%    | 15%   |
| Employee turnover                                            | 72%    | 41%   |
| Employee injury rate (per 100,000 workers)                   | 45     | 30    |
| Food waste (tonnes per year)                                 | 15.6   | 10.8  |
| Number of supply chain audits per year                       | 10     | 6     |
| Single use plastic (tonnes per year)                         | 0.6    | 0.5   |

For which of the two companies would an analyst most probably prioritise further analysisto ensure interests between shareholders and company executives are well aligned?

A. Company A because the risks associated with the CEO's pay are correlated withcompany profits.
B. Company A because of the high number of independent directors who do notrepresent shareholders' interests.
C. Company B because a Board with more than 12 members is at risk of being inefficientin decision-making.
D. Company B because low correlation between CEO's variable compensation andcompany profits may indicate misalignment of interests.",D
64,"Several questions are associated with the following case study. The material given in thecase study will not change.

Food service operators are seeing one of the most important and growing trends in thepast decade ' the 'gourmetisation' of fast food into a new category of food service calledfast casual. One of the strongest restaurant concepts, fast casual restaurants do not offera full table service; however, they do advertise higher quality food in comparison to fastfood restaurants. As a result, fast casual restaurants are perceived as an intermediateoption between fast food and casual dining, and usually priced accordingly. Fast casual isnow the fastest growing category in the food service industry.

The industry relies heavily on human capital for food preparation and customer services.These jobs are usually low paid and require long hours. A large percentage of foodpreparation and customer services jobs are filled by immigrants and young adults,respectively.

Below is information from two German companies in the fast casual restaurant subsector,which may or may not be material.

| Company                                                      | A      | B     |
| ------------------------------------------------------------ | ------ | ----- |
| Number of individuals in the Board of Directors              | 10     | 14    |
| Number of independent directors                              | 9      | 6     |
| Correlation between CEO's variable remuneration and company's | 0.78   | 0.43  |
| Revenue (EUR millions)                                       | 20.736 | 5.923 |
| Number of stores                                             | 38     | 10    |
| Percentage of food procurement:                              |        |       |
| ___ Sourced locally                                          | 34%    | 79%   |
| ___ Sourced internationally                                  | 66%    | 21%   |
| Average number of customers per day per store                | 400    | 200   |
| Average margin per customer                                  | 3%     | 7%    |
| Number of employees                                          | 12,347 | 4,213 |
| ___ percentage in food preparation                           | 50%    | 40%   |
| ___ percentage in customer service                           | 40%    | 45%   |
| ___ percentage in other                                      | 10%    | 15%   |
| Employee turnover                                            | 72%    | 41%   |
| Employee injury rate (per 100,000 workers)                   | 45     | 30    |
| Food waste (tonnes per year)                                 | 15.6   | 10.8  |
| Number of supply chain audits per year                       | 10     | 6     |
| Single use plastic (tonnes per year)                         | 0.6    | 0.5   |

What conclusions might be made with regards to Company A's working conditions in comparison to Company B's?

A. Company A has more employees and thus its risk associated with working conditions is higher.
B. Company A has better working conditions as it conducts more supply chain audits per year.
C. Company B probably has better working conditions based on its lower employee turnover and injury rate.
D. Company A and B have comparable working conditions as a similar percentage of their employees are exposed to food preparation hazards.",C
65,"Several questions are associated with the following case study. The material given in thecase study will not change.

Food service operators are seeing one of the most important and growing trends in thepast decade ' the 'gourmetisation' of fast food into a new category of food service calledfast casual. One of the strongest restaurant concepts, fast casual restaurants do not offera full table service; however, they do advertise higher quality food in comparison to fastfood restaurants. As a result, fast casual restaurants are perceived as an intermediateoption between fast food and casual dining, and usually priced accordingly. Fast casual isnow the fastest growing category in the food service industry.

The industry relies heavily on human capital for food preparation and customer services.These jobs are usually low paid and require long hours. A large percentage of foodpreparation and customer services jobs are filled by immigrants and young adults,respectively.

Below is information from two German companies in the fast casual restaurant subsector,which may or may not be material.

| Company                                                      | A      | B     |
| ------------------------------------------------------------ | ------ | ----- |
| Number of individuals in the Board of Directors              | 10     | 14    |
| Number of independent directors                              | 9      | 6     |
| Correlation between CEO's variable remuneration and company's | 0.78   | 0.43  |
| Revenue (EUR millions)                                       | 20.736 | 5.923 |
| Number of stores                                             | 38     | 10    |
| Percentage of food procurement:                              |        |       |
| ___ Sourced locally                                          | 34%    | 79%   |
| ___ Sourced internationally                                  | 66%    | 21%   |
| Average number of customers per day per store                | 400    | 200   |
| Average margin per customer                                  | 3%     | 7%    |
| Number of employees                                          | 12,347 | 4,213 |
| ___ percentage in food preparation                           | 50%    | 40%   |
| ___ percentage in customer service                           | 40%    | 45%   |
| ___ percentage in other                                      | 10%    | 15%   |
| Employee turnover                                            | 72%    | 41%   |
| Employee injury rate (per 100,000 workers)                   | 45     | 30    |
| Food waste (tonnes per year)                                 | 15.6   | 10.8  |
| Number of supply chain audits per year                       | 10     | 6     |
| Single use plastic (tonnes per year)                         | 0.6    | 0.5   |

Regulators are discussing a ban on single-use plastic. How might this impact Company Aand Company B financially?

A. Company A's cost of capital would increase more than Company B's because of itshigher use of single-use plastic.
B. Company A's costs would increase by .6 multiplied by the difference between the priceof the single-use plastic and its alternative.
C. Company B's costs would reduce by .5 multiplied by the average cost of the singleuseplastic used in its stores.
D. Company B's costs would increase by .5 multiplied by the average cost of thealternative to single-use plastic.",B
66,"Several questions are associated with the following case study. The material given in thecase study will not change.

Food service operators are seeing one of the most important and growing trends in thepast decade ' the 'gourmetisation' of fast food into a new category of food service calledfast casual. One of the strongest restaurant concepts, fast casual restaurants do not offera full table service; however, they do advertise higher quality food in comparison to fastfood restaurants. As a result, fast casual restaurants are perceived as an intermediateoption between fast food and casual dining, and usually priced accordingly. Fast casual isnow the fastest growing category in the food service industry.

The industry relies heavily on human capital for food preparation and customer services.These jobs are usually low paid and require long hours. A large percentage of foodpreparation and customer services jobs are filled by immigrants and young adults,respectively.

Below is information from two German companies in the fast casual restaurant subsector,which may or may not be material.

| Company                                                      | A      | B     |
| ------------------------------------------------------------ | ------ | ----- |
| Number of individuals in the Board of Directors              | 10     | 14    |
| Number of independent directors                              | 9      | 6     |
| Correlation between CEO's variable remuneration and company's | 0.78   | 0.43  |
| Revenue (EUR millions)                                       | 20.736 | 5.923 |
| Number of stores                                             | 38     | 10    |
| Percentage of food procurement:                              |        |       |
| ___ Sourced locally                                          | 34%    | 79%   |
| ___ Sourced internationally                                  | 66%    | 21%   |
| Average number of customers per day per store                | 400    | 200   |
| Average margin per customer                                  | 3%     | 7%    |
| Number of employees                                          | 12,347 | 4,213 |
| ___ percentage in food preparation                           | 50%    | 40%   |
| ___ percentage in customer service                           | 40%    | 45%   |
| ___ percentage in other                                      | 10%    | 15%   |
| Employee turnover                                            | 72%    | 41%   |
| Employee injury rate (per 100,000 workers)                   | 45     | 30    |
| Food waste (tonnes per year)                                 | 15.6   | 10.8  |
| Number of supply chain audits per year                       | 10     | 6     |
| Single use plastic (tonnes per year)                         | 0.6    | 0.5   |

Based on known information, which company is expected to have less of a challenge in managing its food supply chain risk?

A. Company A because it has more audits in absolute terms and a higher percentage of internationally sourced produce.
B. Company B because it has more audits per unit of revenue and a higher percentage of locally sourced produce.
C. Company B because it has smaller revenue and thus lower reputational risk.
D. Company A and B have similar challenges because of the number of audits per unit of profit are alike.",B
67,"Several questions are associated with the following case study. The material given in thecase study will not change.

Food service operators are seeing one of the most important and growing trends in thepast decade ' the 'gourmetisation' of fast food into a new category of food service calledfast casual. One of the strongest restaurant concepts, fast casual restaurants do not offera full table service; however, they do advertise higher quality food in comparison to fastfood restaurants. As a result, fast casual restaurants are perceived as an intermediateoption between fast food and casual dining, and usually priced accordingly. Fast casual isnow the fastest growing category in the food service industry.

The industry relies heavily on human capital for food preparation and customer services.These jobs are usually low paid and require long hours. A large percentage of foodpreparation and customer services jobs are filled by immigrants and young adults,respectively.

Below is information from two German companies in the fast casual restaurant subsector,which may or may not be material.

| Company                                                      | A      | B     |
| ------------------------------------------------------------ | ------ | ----- |
| Number of individuals in the Board of Directors              | 10     | 14    |
| Number of independent directors                              | 9      | 6     |
| Correlation between CEO's variable remuneration and company's | 0.78   | 0.43  |
| Revenue (EUR millions)                                       | 20.736 | 5.923 |
| Number of stores                                             | 38     | 10    |
| Percentage of food procurement:                              |        |       |
| ___ Sourced locally                                          | 34%    | 79%   |
| ___ Sourced internationally                                  | 66%    | 21%   |
| Average number of customers per day per store                | 400    | 200   |
| Average margin per customer                                  | 3%     | 7%    |
| Number of employees                                          | 12,347 | 4,213 |
| ___ percentage in food preparation                           | 50%    | 40%   |
| ___ percentage in customer service                           | 40%    | 45%   |
| ___ percentage in other                                      | 10%    | 15%   |
| Employee turnover                                            | 72%    | 41%   |
| Employee injury rate (per 100,000 workers)                   | 45     | 30    |
| Food waste (tonnes per year)                                 | 15.6   | 10.8  |
| Number of supply chain audits per year                       | 10     | 6     |
| Single use plastic (tonnes per year)                         | 0.6    | 0.5   |

New restaurant regulation will limit the amount of food that can go to waste (as a percentage of food purchased). Which company is the regulation likely to impact the most?

A. Company A because it wastes 4.8 tonnes of food more than Company B per year.
B. Company B because it produces more food waste in proportion to revenue.
C. Company A and B will be impacted in a similar way as they produce a similar proportion of food waste in proportion to margin.
D. The answer cannot be reached with the information provided.",D
68,"Which best describes stewardship of asset s over which someone acts as the guardian?
A. The process of intervention to avoid deterioration of the long-term value of the assets.
B. The reconciliation of the assets with recor ds produced by t hird party holders of the assets.
C. The putting in place of a physical measure to Physically pr otect the assets from theft.
D. The investor actively participating at the annual general meeting.",A
69,"Which of the following challenges can auditors face in prev enting fraud in company accounts? 
i. Auditors may be misled by management. 
ii. Auditors rely to a great degree on the accuracy of a company's internal accounting system. 
iii. Audits are based on samples and not all figur es are review ed. 
iv. Only segments of a company’s business that are deemed mater ial are reviewed.
A. ii and iii.
B. iii and iv.
C. i, ii and iii.
D. i, ii, iii and iv.",D
70,"The correlation between positive ESG factors and financial performance is most commonly observed to be:
A. Negative.
B. Close to zero.
C. Positive.
D. Highly variable.",C
71,"Under the fiduciary duty of pension funds in the USA, the E mployment Retirement Income Security Act (ERISA) expects that pension funds:
A. Engage with companies and vote at general meetings.
B. Engage with companies but do not vote at general meetings.
C. Are passive investors in companies and vote only on materia l issues.
D. Are passive investors and do not vote at general meetings.",A
72,"Which of the following is not an escalation measure that can be used across all asset classes?
A. Formally adding the company to an exclusion list.
B. Proxy voting at a general meeting.
C. Making a public statement in advance of a general meeting.
D. Seeking governance improvements through legal methods.",B
73,"Sharon is the Chief Investment Officer of BCM, a boutique a sset manager that primarily invests in UK equities. BCM has a small stake in RTC media comp any which has not been efficient in removing terror ist related content circulated on its social networking website. Since BCM's resources are limited, Sharon decides to join the Investor Forum, which will allow her to:
A. Avoid direct interaction with RTC.
B. Benefit from the Investor Forum's advisory services.
C. Draw investor attention to RTC's terrorist related content.
D. Initiate a joint resolution to gain control of RTC.",C
74,"A large US tobacco company has resisted engagement attempts by an investor forum to influence it to encourage people to quit smoking. The investor forum has now put an item on the upcoming AGM agenda proposing a new set of board me mbers. The current board has reviewed its position and decides it:
A. May seek a ruling from the Securities and Exchange Commissi on (SEC) to have the item removed from the agenda.
B. Must leave the item on the agenda.
C. Should make the agenda public before the meeting.
D. Should resign before the AGM.",A
75,"The CFA Institute and CFA UK define ESG integration as the:
A. Explicit systematic inclusion of ESG factors in investment analysis and investment decisions.
B. Exclusion of securities from  client portfolios, which fall below specified minimum standards.
C. Prioritisation of ESG factors ahead of all other client con siderations during the investment process.
D. Requirement to refer to ESG fa ctors at all stages of the in vestment process.",A
76,"Which approach to ESG investing would require the most intensive use of resources by an investment manager?
A. Negative screening.
B. Active ownership.
C. Best-in-class.
D. Thematic investing.",B
77,"An ESG portfolio in government bonds is most likely to drive allocation towards:
A. High yielding, high volatility bonds.
B. High yielding, low volatility bonds.
C. Low yielding, high volatility bonds.
D. Low yielding, l ow volatility bonds.",D
78,"Caroline runs a portfolio, which screens out securities wit h low ESG scores from the benchmark index. She then reweights the portfolio with the rema ining securities according to their market capitalisations. To address tracking error, she runs a portfolio optimisation programme. Has the tracking error issue been resolved?
A. No, she should apply a strong ESG tilt to the portfolio.
B. Yes, but the portfolio is now overweight securities that co rrelate with omitted securities.
C. Yes, the removal of a small portion of securities from the benchmark will not impact relative performance in the long run.
D. Yes, this strategy generally outperforms its benchmark when  the excluded securities underperform.",B
79,"Chang Ying runs an equity portfolio using ESG integration t echniques which looks at E, S, and G independently. To reduce the downside tail risk of the po rtfolio whilst preserving the largest investable universe possible she could avoid:
A. All companies with low E scores.
B. All companies with low G scores.
C. Companies with exposure to coal fired generation activities .
D. Companies whose G score reflects insufficient financial ove rsight.",D
80,"Green bond funds would best be described as which form of investing?
A. Exclusionary investing.
B. Active ownership investing.
C. Best-in-class investing.
D. Thematic investing.",D
81,"Which of the following ESG index providers specifically con siders governance?
A. Bloomberg.
B. FTSE Russell.
C. MSCI.
D. Thomson Reuters.",D
82,"Which of these factors will be greater for an investor who is passively exposed to an ESG index than for an investor with actively managed investments?
A. Investment costs and expenses.
B. Complexity of investment strategies.
C. Volume of operational decisions required.
D. Risk of incorrectly included index constituents.",D
83,"What should be the first stage of a portfolio management process, which employs ESG integration?
A. Agree the meaning of all ESG terms discussed with clients.
B. Determine any external ESG research requirements.
C. Develop an investment policy statement.
D. Undertake any internal ESG research required.",C
84,"Which of the following indice s would provide a benchmark fo r an ESG real estate investor?
A. FTSE4Good.
B. MSCI ESG. 
C. GRESB .
D. S&P ESG.",C
85,"Which of the following types of fund managers are most likely to provide active stewardship for investors?
A. Index tracking equity fund managers.
B. Broad bond index tracking fund managers.
C. Long duration corporate bond fund managers.
D. Fundamental active equity fund managers.",D
86,"Which form of portfolio has the most active stewardship by an investment firm?
A. Diversified equity.
B. Fundamental equity.
C. Sovereign bond.
D. Index tracking.",B
87,"Which of the following would be specified in an ESG investm ent mandate?
A. Stock selections.
B. Reported returns.
C. Investment beliefs.
D. Excluded companies.",C
88,"Which of the following is cor rect regarding voting by ESG fund managers?
A. Voting represents a stewardship activity.
B. Voting effectiveness is reported back to investors.
C. Proxy voting is not common in developed markets.
D. Fund manager voting records must be kept confidential.",A
89,"Which of the following ESG factors is most likely to improve company performance?
A. Transparent taxation.
B. Robust risk management.
C. Enhanced diversity.
D. Flat organisational structure.",A
90,"Impact investment offerings of small to medium size are gen erally most appropriate for:
A. High net worth individuals.
B. Large institutional asset managers.
C. Pension funds.
D. Retail investment funds.",A
91,"Central bank support of Trade Finance and Corporate Banking standards is intended to have what effect?
A. Encourage banks and insurers to divest from companies with high carbon emissions.
B. Enhance the approaches taken by banks and insurers to manag ing financial risks from climate change.
C. Keep inflation within target range.
D. Support quantitative easing.",B
92,"Reporting attribution of retur ns resulting from ESG integration is likely to be most accurate when:
A. A variety of ESG evaluation techniques are used.
B. An asset manager reports stewardship activities in a detail ed manner.
C. ESG is fully integrated into the investment process.
D. The effect of removing one sector from a portfolio is measu red.",D
93,"Mario runs an ESG scored port folio, which has an E score lo wer than its benchmark. What can he can expect the client to focus more on, when reviewing the performance of the fund?
A. Distractor companies in the benchmark with low E scores.
B. Distractor companies in the portfolio with low E scores.
C. Outperforming companies in the benchmark with high E scores .
D. Outperforming companies in the portfolio with high E scores .",B
94,"What is the best way a company's Board can prevent excessiv e executive remuneration and keep executives accountable to shareholders?
A. Align executive pay to industry standards.
B. Avoid remuneration which vests over a several year period.
C. Link pay to company Key Performance Indicators.
D. Vote for regular executive pay increases.",C
95,"How are agency, alignment and executive pay interrelated in corporate governance?
A. Corporate governance requires management to be agents when aligning executive pay.
B. Corporate governance requires agents to determine whether e xecutive pay is aligned with the market.
C. Management remuneration package should be aligned to the function or role of management as agents responsible to their Board.
D. Management remuneration package should be aligned to the function or role of management as agents responsible to their shareholders.",D
96,"The transition to a low carbon economy is expected to open up significant investment requirements. What would likely have the most financial risk for investors?
A. Early stage technology for hydro based transportation.
B. Energy efficient automobile factories.
C. Power infrastructure with proven renewable energy technolog y.
D. Upgrades to buildings to bring them to suitable standards.",A
97,"Which of these is not a common use for ESG data sets?
A. To input into future scenario models.
B. To guide practice at regulator level.
C. To inform government decision making.
D. To prepare company financial reports.",D
98,"What are the three ESG engagement dynamics highlighted by the PRI as creating value?
A. Political dynamics, Financial dynamics and Learning dynamics.
B. Learning dynamics, Communicative dynamics and Response dynamics.
C. Communicative dynamics, Learning dynamics and Political dynamics.
D. Response dynamics, Political dynamics and Financial dynamics.",C
99,"Which of the following factors will be higher for alternati ve investments than for other financial investments?
A. Correlated returns.
B. Liquidity premium.
C. Reporting obligations.
D. Direct investment effect.",D
100,"Which comment about a typical quantitative approach to ESG analysis is correct?
A. Factors such as value and growth are integrated alongside ESG factors.
B. The data set focuses on an individual company assessment.
C. The research stage will only include internal proprietary data.
D. The dataset tends to be smaller than that used by a fundame ntal adviser.",A
101,"A majority of the research papers on the topic find that companies with long standing good practice in terms of sustainability tend to
A. Outperform their peers in both accounting performance and stock markets returns .
B. Underperform their peers in account ing performance and stock markets returns .
C. Outperform their peers in accounting performance but underperform in stock market returns .
D. Underperform their peers in accounting performance and outperforms in stock markets returns .",A
102,"Which of the following ESG factor adjustments should increase an analyst's valuation of a company relative to its peers?
A. Higher staff satisfaction.
B. Higher future impairments.
C. Higher safety breaches.
D. Higher carbon tax costs.",A
103,"A private wealth manager uses a data provider to screen out companies involved with tobacco and finds that the process eliminates nearly all consumer companies. As consumer companies are a large percentage of the benchmark index, the manager would prefer not to eliminate the whole sector. What method would be the most precise to reduce the number of companies which are screened out ?
A. Global Industry Classification Standard focused on tobacco companies.
B. ESG  rating agency data regarding the financial materiality of tobacco.
C. Percentage of company revenue related to tobacco as agreed with the client.
D. Standard  industry classification for tobacco companies.",C
104,"Which of the following is an example of climate change mitigation?
A. Building a flood defence .
B. Developing drought resistant crop.
C. Retrofitting a building.
D. Desalinating water.",C
105,"Which of these statements best describes responsible investing ?
A. Targeted investment returns with certain investments being negatively screened .
B. ESG factors taken into account to mitigate risk with a focus on financial return.
C. Investments made in a way that captures returns while achieving an intentional effect .
D. ESG factors taking into account to mitigate risk with a focus on capturing ESG opportunities .",B
106,"How have companies not benefitted from changes in family structures?
A. Diversified workforces are more effective.
B. Coverage during maternity leave adds to expenses.
C. Women now able to remain in full time work after child birth.
D. Women often enter the workforce at lower pay rates than men.",B
107,"How should ESG portfolio management remuneration alignment be designed into the mandate?
A. Time frames should reflect performance experienced by clients.
B. Remuneration should be based on short term portfolio returns.
C. Remuneration should be aligned to periods of GDP growth.
D. Time frames should be agreed with clients on a rolling basis.",A
